Title,Name,Date,Medium,Dimensions,Acquisition Date,Department,Classification,Height (cm),Width (cm),,
"Lounge Chair (Rocker) (Side elevation with padding indications, plan.)",Ludwig Mies van der Rohe,1931,Pencil and colored pencil on tracing paper,"41 3/8 x 69 7/8"" (105.1 x 177.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,105.0927,177.4829,,
"Brno Chair Study (Side elevation, flat steel version.)",Ludwig Mies van der Rohe,1931,Pencil and charcoal on tracing paper,"38 7/8 x 24 1/8"" (98.7 x 61.3 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,98.7427,61.2776,,
"Stool (Plan, sde elevation, detail section)",Ludwig Mies van der Rohe,1931,Ink and colored ink on vellum,"39 1/4 x 28 1/4"" (99.7 x 71.8 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,99.6952,71.7551,,
"Barcelona Chair (Front elevation, plan strap system)",Ludwig Mies van der Rohe,1931,Pencil and colored pencil on tracing paper,"35 11/16 x 38 3/4"" (90.6 x 98.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,90.6464,98.4252,,
"Armchair (Side elevation, plan, detail sections)",Ludwig Mies van der Rohe,1931,Ink on tracing paper,"41 3/8 x 46 3/4"" (105.1 x 118.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,105.0927,118.7452,,
"Armchair (Side elevation, plan, detail section)",Ludwig Mies van der Rohe,1931,Ink and pencil on tracing paper,"41 13/16 x 35 1/8"" (106.2 x 89.2 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,106.204,89.2177,,
Barcelona Stool (Front and side elevations),Ludwig Mies van der Rohe,1931,Ink on tracing paper,"40 5/8 x 32 11/16"" (103.2 x 83 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,103.1877,83.0264,,
"Chair without Arms (Side elevation, plan, detail, section)",Ludwig Mies van der Rohe,1931,Ink and colored inks on vellum,"39 x 37 11/16"" (99.1 x 95.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,99.0602,95.7264,,
"Reclining Chair (Side elevation, plan, detail sections)",Ludwig Mies van der Rohe,1931,Ink on vellum,"61 5/16 x 39 1/4"" (155.7 x 99.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,155.7341,99.6952,,
Reclining chair (large version) (Elevation),Ludwig Mies van der Rohe,1931,"Iink, colored ink and pencil on tracing paper","39 5/16 x 58 3/16"" (99.9 x 147.8 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,99.8539,147.7965,,
Chair (similar to Brno Chair) (Elevation sketch),Ludwig Mies van der Rohe,1931,Charcoal on tracing paper,"34 13/16 x 27 3/8"" (88.4 x 69.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,88.42392685,69.53263907,,
"Seat and Frame Curves, Chair without Arms (Elevation sketch)",Ludwig Mies van der Rohe,1931,Charcoal on tracing paper,"41 5/16 x 33 5/16"" (104.9 x 84.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,104.9339599,84.61391923,,
Spring Chair (Elevation sketch),Ludwig Mies van der Rohe,1931,Charcoal on tracing paper,"61 5/8 x 44 3/4"" (156.5 x 113.7 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,156.5278131,113.6652273,,
"Exhibition House, Berlin, Germany, Plan of interior layout",Ludwig Mies van der Rohe,1931,Graphite on tracing paper,"30 x 48 1/2"" (76.2 x 123.2 cm)",,Architecture & Design,Mies van der Rohe Archive,76.2,123.2,,
"United Silk-Weaving Mills Factory Building, Krefeld, Germany (Interior perspective with furniture)",Ludwig Mies van der Rohe,1931,Pencil on tracing paper,"8 1/4 x 11 3/4"" (21 x 29.8 cm)",,Architecture & Design,Mies van der Rohe Archive,20.95504191,29.84505969,,
"United Silk-Weaving Mills Factory Building, Krefeld, Germany (West elevation)",Ludwig Mies van der Rohe,1931,Pencil on tracing paper,"22 x 37 1/2"" (55.9 x 95.3 cm)",,Architecture & Design,Mies van der Rohe Archive,55.88011176,95.2501905,,
"United Silk-Weaving Mills Factory Building, Krefeld, Germany (East elevation)",Ludwig Mies van der Rohe,1931,Pencil on tracing paper,"22 3/4 × 37 1/2"" (57.8 × 95.3 cm)",,Architecture & Design,Mies van der Rohe Archive,57.78511557,95.2501905,,
"United Silk-Weaving Mills Factory Building, Krefeld, Germany (Exterior perspective)",Ludwig Mies van der Rohe,1931,Pencil on tracing paper,"8 1/4 × 11 3/4"" (21 × 29.8 cm)",,Architecture & Design,Mies van der Rohe Archive,20.95504191,29.84505969,,
"United Silk-Weaving Mills Factory Building, Krefeld, Germany (Elevations, sections)",Ludwig Mies van der Rohe,1931,Pencil on tracing paper,"32 3/4 × 46 1/2"" (83.2 × 118.1 cm)",,Architecture & Design,Mies van der Rohe Archive,83.18516637,118.1102362,,
"Gericke House Project, Berlin-Wannsee, Germany, Plan of upper floor",Ludwig Mies van der Rohe,1932,Pencil,"19 x 26 1/2"" (48.2 x 67.3 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,48.2,67.3,,
"Gericke House Project, Wannsee-Berlin, Germany, Main floor plan",Ludwig Mies van der Rohe,1932,Graphite on illustration board,"19 x 26 1/2"" (48.2 x 67.3 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,48.2,67.3,,
"Gericke House Project, Wannsee-Berlin, Germany, Perspective of street facade",Ludwig Mies van der Rohe,1932,Graphite on illustration board,"19 x 26 1/2"" (48.2 x 67.3 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,48.2,67.3,,
"Gericke House Project, Berlin-Wannsee, Germany, Perspective of garden",Ludwig Mies van der Rohe,1932,Pencil,"19 x 26 1/2"" (48.2 x 67.3 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,48.2601,67.3101,,
"Gericke House project, Wannsee-Berlin, Germany (Perspective of bedroom)",Ludwig Mies van der Rohe,1932,Pencil,"19 x 26 1/2"" (48.3 x 67.3 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,48.2601,67.3101,,
"Gericke House project, Wannsee-Berlin, Germany (Street and terrace elevations)",Ludwig Mies van der Rohe,1932,Pencil,"19 x 26 1/2"" (48.3 x 67.3 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,48.2601,67.3101,,
"Gericke House Project, Wannsee-Berlin, Germany, Elevation from the water",Ludwig Mies van der Rohe,1932,Graphite on illustration board,"19 x 26 1/2"" (48.2 x 67.3 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,48.2,67.3,,
"Gericke House Project, Wannsee-Berlin, Germany, Elevation sketch, view from the water",Ludwig Mies van der Rohe,1932,Pencil,"19 x 26 1/2"" (48.3 x 67.3 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,48.2601,67.3101,,
"Gericke House project, Wannsee-Berlin, Germany (Perspective view from dining room to living room and garden)",Ludwig Mies van der Rohe,1932,Pencil,"19 x 26 1/2"" (48.3 x 67.3 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,48.2601,67.3101,,
"Gericke House Project, Berlin-Wannsee, Germany, Interior perspective",Ludwig Mies van der Rohe,1932,Pencil,"19 x 26 1/2"" (48.3 x 67.3 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,48.2601,67.3101,,
"Gericke House Project, Berlin-Wannsee, Germany, Interior perspectives",Ludwig Mies van der Rohe,1932,Pencil,"19 x 26 1/2"" (48.3 x 67.3 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,48.2601,67.3101,,
Reclining Frame Armchair,Ludwig Mies van der Rohe,1932,"Chrome-plated tubular steel, contour cushion, and rubber straps","36 1/8 x 25 5/16 x 67 5/8"" (91.8 x 64.3 x 171.8 cm)",10/22/76,Architecture & Design,Design,91.7577,64.2939,,
"Gericke House, Project, Berlin-Wannsee (Plan, perspective and detail sketches)",Ludwig Mies van der Rohe,1932,Pencil on paper,"8 1/4 x 11 3/4"" (21 x 29.9 cm)",,Architecture & Design,Mies van der Rohe Archive,20.955,29.9,,
"Gericke House, Project, Berlin-Wannsee, Preliminary perspective sketch",Ludwig Mies van der Rohe,1932,Pencil on paper,"8 1/4 x 11 3/4"" (21 x 29.8 cm)",,Architecture & Design,Mies van der Rohe Archive,20.955,29.8451,,
"Gericke House, Project, Berlin-Wannsee (Preliminary perspective sketch)",Ludwig Mies van der Rohe,1932,Pencil on paper,"8 1/4 x 11 3/4"" (21 x 29.8 cm)",,Architecture & Design,Mies van der Rohe Archive,20.955,29.8451,,
"Gericke House, Project, Berlin-Wannsee, Four perspective sketches",Ludwig Mies van der Rohe,1932,Pencil on paper,"8 1/4 x 11 3/4"" (21 x 29.8 cm)",,Architecture & Design,Mies van der Rohe Archive,20.955,29.8451,,
"Gericke House, Project, Berlin-Wannsee (Perspective and plan sketches)",Ludwig Mies van der Rohe,1932,Pencil on paper,"8 1/4 x 11 3/4"" (21 x 29.8 cm)",,Architecture & Design,Mies van der Rohe Archive,20.955,29.8451,,
"Lemke House, Berlin, Germany, Plan and perspective sketches",Ludwig Mies van der Rohe,1932,Pencil on tracing paper,"11 1/2 x 8 1/4"" (29.2 x 21 cm)",,Architecture & Design,Mies van der Rohe Archive,29.2101,20.955,,
"Lemke House, Berlin, Germany, Exterior perspective sketches",Ludwig Mies van der Rohe,1932,Pencil on paper,"11 1/2 x 8 1/4"" (29.2 x 21 cm)",,Architecture & Design,Mies van der Rohe Archive,29.2101,20.955,,
"Lemke House, Berlin, Germany, Interior perspective sketch",Ludwig Mies van der Rohe,1932,Pencil on tracing paper,"8 1/4 x 11 1/2"" (21 x 29.2 cm)",,Architecture & Design,Mies van der Rohe Archive,20.955,29.2101,,
"Lemke House, Berlin, Germany, Plan and elevation sketches",Ludwig Mies van der Rohe,1932,Pencil on paper,"8 1/4 x 11 1/2"" (21 x 29.2 cm)",,Architecture & Design,Mies van der Rohe Archive,20.955,29.2101,,
"Lemke House, Berlin, Germany, Garden plan",Ludwig Mies van der Rohe,1932,Colored pencil on print,"18 1/2 x 28 3/4"" (47 x 73.1 cm)",,Architecture & Design,Mies van der Rohe Archive,47,73.1,,
"Lemke House, Berlin, Germany, Aerial perspective, elevations, section",Ludwig Mies van der Rohe,1932,Pencil on tracing paper,"16 x 42 3/4"" (40.6 x 108.6 cm)",,Architecture & Design,Mies van der Rohe Archive,40.6401,108.5852,,
"Lemke House, Berlin, Germany, Floor plan with furniture placement",Ludwig Mies van der Rohe,1932,Pencil on tracing paper,"23 3/4 x 9 1/4"" (60.4 x 23.5 cm)",,Architecture & Design,Mies van der Rohe Archive,60.4,23.5,,
"Lemke House, Berlin, Germany, Plan sketch",Ludwig Mies van der Rohe,1932,Pencil and colored pencil on tracing paper,"14 3/4 x 25 1/2"" (37.5 x 64.7 cm)",,Architecture & Design,Mies van der Rohe Archive,37.5,64.7,,
"Gericke House, Project, Berlin-Wannsee (Preliminary perspective sketch)",Ludwig Mies van der Rohe,1932,Pencil on paper,"8 1/4 x 11 3/4"" (21 x 29.8 cm)",,Architecture & Design,Mies van der Rohe Archive,20.955,29.8451,,
"Gericke House, Project, Berlin-Wannsee (Interior perspective sketch)",Ludwig Mies van der Rohe,1932,Pencil on paper,"8 1/4 x 11 3/4"" (21 x 29.8 cm)",,Architecture & Design,Mies van der Rohe Archive,20.955,29.8451,,
"Gericke House Project, Berlin-Wannsee, Germany, Elevation study facing the Wannsee",Ludwig Mies van der Rohe,1932,Pencil on tracing paper,"7 7/8 x 23 3/4"" (20 x 60.3 cm)",,Architecture & Design,Architecture,20.0025,60.3251,,
"Gericke House, project, Berlin-Wannsee, Germany, Landscape model",Ludwig Mies van der Rohe,1932,"Laser cut and scored plexiglass, styrene products, wood veneer, wire, paint, birch-veneer plywood","14 x 80 x 48"" (35.6 x 203.2 x 121.9 cm)",10/2/03,Architecture & Design,Architecture,35.5601,203.2004,,
"Lemke House, Berlin, Germany, Interior perspective",Ludwig Mies van der Rohe,1932,Pencil on tracing paper,"8 1/4 x 11 1/2"" (21 x 29.2 cm)",,Architecture & Design,Mies van der Rohe Archive,20.95504191,29.21005842,,
"Gericke House, Project, Berlin-Wannsee, Perspective",Ludwig Mies van der Rohe,1932,Pencil on copy paper,"8 1/4 x 11 3/4"" (21 x 29.8 cm)",,Architecture & Design,Mies van der Rohe Archive,20.955,29.8451,,
"Gericke House, Project, Berlin-Wannsee, Perspective",Ludwig Mies van der Rohe,1932,Pencil on copy paper,"8 1/4 x 11 3/4"" (21 x 29.8 cm)",,Architecture & Design,Mies van der Rohe Archive,20.955,29.8451,,
"Gericke House, Project, Berlin-Wannsee, Three preliminary perspective sketches",Ludwig Mies van der Rohe,1932,Pencil on copy paper,"8 1/4 x 11 3/4"" (21 x 29.8 cm)",,Architecture & Design,Mies van der Rohe Archive,20.955,29.8451,,
"Gericke House, Project, Berlin-Wannsee, Floor plan and two perspectives. Sketch",Ludwig Mies van der Rohe,1932,Pencil on copy paper,"8 1/4 x 11 3/4"" (21 x 29.8 cm)",,Architecture & Design,Mies van der Rohe Archive,20.955,29.8451,,
"Lemke House, Berlin, Germany, Three aerial perspective sketches. One plan",Ludwig Mies van der Rohe,1932,Pencil on tracing paper,"8 1/4 x 11 1/2"" (21 x 29.2 cm)",,Architecture & Design,Mies van der Rohe Archive,20.95504191,29.21005842,,
"Lemke House, Berlin, Germany, Aerial perspective sketch",Ludwig Mies van der Rohe,1932,Pencil on tracing paper,"8 1/4 x 11 1/2"" (21 x 29.2 cm)",,Architecture & Design,Mies van der Rohe Archive,20.95504191,29.21005842,,
"Gericke House, Project, Berlin-Wannsee (Perspective sketches)",Ludwig Mies van der Rohe,1932,Pencil on paper,"8 1/4 x 11 3/4"" (21 x 29.8 cm)",,Architecture & Design,Mies van der Rohe Archive,20.95504191,29.84505969,,
"Reichsbank Project, Berlin-Mitte, Germany, Perspective view study of rear facade",Ludwig Mies van der Rohe,1933,Charcoal on tracing paper,"28 1/4 x 35 3/4"" (71.7 x 90.8 cm)",,Architecture & Design,Mies van der Rohe Archive,71.7,90.8052,,
"Reichsbank Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,1933,Charcoal on tracing paper,"38 1/4 x 30 3/4"" (97.2 x 78.1 cm)",,Architecture & Design,Mies van der Rohe Archive,97.1552,78.1052,,
"Reichsbank Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,1933,Pencil on tracing paper,"6 x 5 3/4"" (15.2 x 14.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.2,14.6,,
"Reichsbank Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,1933,Pencil on tracing paper,"4 1/4 x 4"" (10.8 x 10.1 cm)",,Architecture & Design,Mies van der Rohe Archive,10.8,10.1,,
"Reichsbank Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,1933,Pencil on tracing paper,"14 1/2 x 33 1/2"" (36.9 x 85.1 cm)",,Architecture & Design,Mies van der Rohe Archive,36.9,85.0902,,
"Reichsbank Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,1933,Pencil on tracing paper,"14 1/2 x 32"" (36.8 x 81.3 cm)",,Architecture & Design,Mies van der Rohe Archive,36.8301,81.2802,,
"Reichsbank Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,1933,Pencil on tracing paper,"14 1/2 x 29 3/4"" (36.9 x 75.6 cm)",,Architecture & Design,Mies van der Rohe Archive,36.9,75.6,,
"Reichsbank Project, Berlin-Mitte, Germany, Site plan",Ludwig Mies van der Rohe,1933,Diazotype with pencil and colored pencil,"23 1/2 x 26 3/4"" (59.7 x 68 cm)",,Architecture & Design,Mies van der Rohe Archive,59.6901,68,,
"Reichsbank Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,1933,Pencil on tracing paper,"34 1/2 x 39 1/2"" (87.6 x 100.3 cm)",,Architecture & Design,Mies van der Rohe Archive,87.6,100.3302,,
"Reichsbank Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,1933,Pencil and colored ink on tracing paper,"35 x 41 1/2"" (88.9 x 105.4 cm)",,Architecture & Design,Mies van der Rohe Archive,88.9,105.4,,
"Reichsbank Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,1933,Colored pencil on tracing paper,"34 1/2 x 19 3/4"" (87.6 x 50.2 cm)",,Architecture & Design,Mies van der Rohe Archive,87.6302,50.1651,,
"Reichsbank Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,1933,Pencil on tracing paper,"9 3/4 x 31 1/2"" (24.8 x 80 cm)",,Architecture & Design,Mies van der Rohe Archive,24.8,80.0102,,
"Reichsbank Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,1933,Pencil on tracing paper,"9 1/2 x 31 1/4"" (24.1 x 79.4 cm)",,Architecture & Design,Mies van der Rohe Archive,24.13,79.4,,
"Reichsbank Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,1933,Pencil and colored pencil on tracing paper,"10 3/4 x 8 1/2"" (27.3 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,27.3,21.6,,
"Reichsbank Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,1933,Pencil and colored pencil on tracing paper,"10 x 10 1/2"" (25.4 x 26.6 cm)",,Architecture & Design,Mies van der Rohe Archive,25.4,26.6,,
"Reichsbank Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,1933,Pencil and colored ink on tracing paper,"10 3/4 x 13 3/4"" (27.3 x 34.9 cm)",,Architecture & Design,Mies van der Rohe Archive,27.3,34.9,,
"Reichsbank Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,1933,Pencil on tracing paper,"13 1/2 x 7 3/4"" (34.3 x 19.7 cm)",,Architecture & Design,Mies van der Rohe Archive,34.2901,19.7,,
"Reichsbank, project, Berlin-Mitte, Germany, Urban context model",Ludwig Mies van der Rohe,1933,"Acrylic plastic, non-glare acrylic plastic, styrene plastic, syntactic polyurethane board, latex paint","13 1/2 x 46 x 57 1/2"" (34.3 x 116.8 x 146.1 cm)",10/2/03,Architecture & Design,Architecture,34.2901,116.8402,,
Lounge Chair with and without Arms (Elevation sketches; one perspective sketch),Ludwig Mies van der Rohe,1933,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
"Lounge Chair without Arms (Four elevation sketches, one perspective sketch)",Ludwig Mies van der Rohe,1933,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
"Lounge Chair without Arms (Four elevation sketches, one perspective sketch)",Ludwig Mies van der Rohe,1933,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Reclining Chair without Arms (Three elevation sketches),Ludwig Mies van der Rohe,1933,Pencil on paper,"11 1/4 x 8 13/16"" (28.6 x 22.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.3838,,
Chair without Arms (Six elevation sketches),Ludwig Mies van der Rohe,1933,Pencil on paper,"11 1/4 x 8 13/16"" (28.6 x 22.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.3838,,
Lounge Chair without Arms (Elevation sketch),Ludwig Mies van der Rohe,1933,Pencil on tracing paper,"8 3/16 x 11 1/4"" (20.8 x 28.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,20.7963,28.5751,,
Barcelona Chair. Lounge Chair without Arms. (Elevation sketches),Ludwig Mies van der Rohe,1933,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Lounge Chair without Arms. Barcelona Stool. (Elevation sketches),Ludwig Mies van der Rohe,1933,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Chair with Arms (Elevation sketch),Ludwig Mies van der Rohe,1933,Pencil on paper,"11 1/4 x 8 13/16"" (28.6 x 22.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.3838,,
Chair with Arms (Elevation sketch),Ludwig Mies van der Rohe,1933,Pencil on paper,"11 1/4 x 8 13/16"" (28.6 x 22.4 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.3838,,
Lounge Chair (Elevation sketches),Ludwig Mies van der Rohe,1933,Pencil on paper,"11 1/4 x 8 7/8"" (28.6 x 22.5 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,28.5751,22.5425,,
Lounge Chair (Elevation sketches),Ludwig Mies van der Rohe,1933,Pencil on paper,"8 7/8 x 11 1/4"" (22.5 x 28.6 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,22.5425,28.5751,,
Lounge Chair without Arms (Elevation),Ludwig Mies van der Rohe,1933,Pencil on tracing paper,"11 7/16 x 15"" (29.1 x 38.1 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,29.0513081,38.1000762,,
Lounge Chair without Arms (Elevation sketch),Ludwig Mies van der Rohe,1933,Pencil on tracing paper,"10 1/16 x 14 1/2"" (25.6 x 36.8 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,25.55880112,36.83007366,,
Spring Chair without Arms (Elevation sketch),Ludwig Mies van der Rohe,1933,Pencil on tracing paper,"12 1/4 x 14 9/16"" (31.1 x 37 cm)",11/6/74,Architecture & Design,Mies van der Rohe Archive,31.11506223,36.98882398,,
"Reichsbank project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,1933,Gelatin silver photograph with pencil,"5 x 7"" (12.7 x 17.8 cm)",,Architecture & Design - Image Archive,Mies van der Rohe Archive,12.7000254,17.78003556,,
"Reichsbank Project, Berlin-Mitte, Germany, Plan, penthouse",Ludwig Mies van der Rohe,1933,Pencil and colored pencil on tracing paper,"7 1/2 x 8 1/2"" (19.1 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,19.0500381,21.59004318,,
"Reichsbank Project, Berlin-Mitte, Germany, Plan, penthouse",Ludwig Mies van der Rohe,1933,Pencil on tracing paper,"15 1/2 x 13 1/4"" (39.4 x 33.7 cm)",,Architecture & Design,Mies van der Rohe Archive,39.37007874,33.65506731,,
"Reichsbank Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,1933,Gelatin silver print,"6 1/2 x 9 1/4"" (16.5 x 23.5 cm)",,Architecture & Design - Image Archive,Mies van der Rohe Archive,16.51003302,23.49504699,,
"Reichsbank Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,1933,Gelatin silver print,"10 x 8"" (25.4 x 20.3 cm)",,Architecture & Design - Image Archive,Mies van der Rohe Archive,25.4000508,20.32004064,,
"Reichsbank Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,1933,Gelatin silver print,"8 x 10"" (20.3 x 25.4 cm)",,Architecture & Design - Image Archive,Mies van der Rohe Archive,20.32004064,25.4000508,,
Court House project (Elevation),Ludwig Mies van der Rohe,1934,Ink,"8 1/2 x 11 3/4"" (21.6 x 29.8 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,21.59004318,29.84505969,,
Court House project (Two perspectives),Ludwig Mies van der Rohe,1934,Ink,"8 1/4 x 11 3/4"" (21 x 29.8 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,21,29.8,,
Court House project (Aerial perspective),Ludwig Mies van der Rohe,1934,Ink,"8 1/4 x 11 3/4"" (21 x 29.8 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,21,29.8,,
"Mountain House Studies, No intended site known (possibly Merano, South Tyrol, Italy), Sketch elevation for ""Glass House on a Hillside.""",Ludwig Mies van der Rohe,1934,Ink on paper,"5 x 8"" (12.7 x 20.2 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,12.7,20.2,,
"Hubbe House Project, Magdeburg, Germany, Floor plan with furniture placement (final version)",Ludwig Mies van der Rohe,1934,Graphite on illustration board,"19 x 26 1/2"" (48.3 x 67.3 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,48.2601,67.3101,,
"Hubbe House Project, Magdeburg, Germany, Perspective view of living room and court",Ludwig Mies van der Rohe,1934,Graphite on illustration board,"19 x 26 1/2"" (48.2 x 67.3 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,48.2,67.3,,
"Hubbe House Project , Magdeburg, Germany, Perspective view of living room and terrace",Ludwig Mies van der Rohe,1934,Graphite on illustration board,"19 x 26 1/2"" (48.3 x 67.3 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,48.2601,67.3101,,
"Mountain House Project, no intended site known, (possibly Merano, South Tyrol, Italy)",Ludwig Mies van der Rohe,1934,Pencil on paper,"8 1/4 x 11 3/4"" (21 x 29.8 cm)",,Architecture & Design,Mies van der Rohe Archive,20.955,29.8451,,
"Mountain House Project, no intended site known, (possibly Merano, South Tyrol, Italy)",Ludwig Mies van der Rohe,1934,Pencil on paper,"8 1/4 x 11 3/4"" (20.9 x 29.8 cm)",,Architecture & Design,Mies van der Rohe Archive,20.9,29.8451,,
"Mountain House Project, no intended site known, (possibly Merano, South Tyrol, Italy)",Ludwig Mies van der Rohe,1934,Pencil on paper,"8 1/4 x 10 1/4"" (21 x 26 cm)",,Architecture & Design,Mies van der Rohe Archive,21,26.0351,,
"Mountain House Project, no intended site known, (possibly Merano, South Tyrol, Italy), Elevation",Ludwig Mies van der Rohe,1934,Pencil on paper,"8 1/4 x 10 1/4"" (21 x 26 cm)",,Architecture & Design,Mies van der Rohe Archive,21,26.0351,,
"Mountain House Project, no intended site known, (possibly Merano, South Tyrol, Italy)",Ludwig Mies van der Rohe,1934,Pencil on tissue paper,"8 1/4 x 11 3/4"" (21 x 29.9 cm)",,Architecture & Design,Mies van der Rohe Archive,21,29.9,,
"Mountain House Project, no intended site known, (possibly Merano, South Tyrol, Italy), Plan and perspective sketch",Ludwig Mies van der Rohe,1934,Pencil on tracing paper,"8 1/4 x 10 3/4"" (21 x 27.3 cm)",,Architecture & Design,Mies van der Rohe Archive,21,27.3,,
House on a Terrace (no intended site known) (Plan and two perspectives),Ludwig Mies van der Rohe,1934,Pencil on paper,"8 1/4 x 10 3/4"" (21 x 27.3 cm)",,Architecture & Design,Mies van der Rohe Archive,21,27.3,,
"German Pavilion, International Exposition, Brussels, Belgium, Interior perspective",Ludwig Mies van der Rohe,1934,Pencil on tracing paper,"10 1/2 x 17 1/4"" (26.6 x 43.8 cm)",,Architecture & Design,Mies van der Rohe Archive,26.6,43.8,,
"German Pavilion, International Exposition, Brussels, Belgium (Elevation)",Ludwig Mies van der Rohe,1934,Pencil on tracing paper,"7 1/2 x 42 3/4"" (19 x 108.6 cm)",,Architecture & Design,Mies van der Rohe Archive,19,108.6,,
"German Pavilion, International Exposition, Brussels, Belgium",Ludwig Mies van der Rohe,1934,Pencil and colored pencil on tracing paper,"30 3/4 x 27 1/2"" (78.1 x 69.9 cm)",,Architecture & Design,Mies van der Rohe Archive,78.1,69.9,,
"Hubbe House Project, Magdeburg, Germany (Plan and elevations)",Ludwig Mies van der Rohe,1934,Pencil on tracing paper,"17 3/4 x 21 1/4"" (45.1 x 54 cm)",,Architecture & Design,Mies van der Rohe Archive,45.1,53.9751,,
"Hubbe House Project, Magdeburg, Germany, Plot plan",Ludwig Mies van der Rohe,1934,Pencil on paper,"11 1/2 x 8 1/4"" (29.2 x 21 cm)",,Architecture & Design,Mies van der Rohe Archive,29.2,20.955,,
